

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
216.341  000.206  000.206: sourcing /usr/local/Cellar/neovim/0.8.3/share/nvim/runtime/plugin/matchparen.vim
216.463  000.026  000.026: sourcing /usr/local/Cellar/neovim/0.8.3/share/nvim/runtime/plugin/netrwPlugin.vim
216.786  000.017  000.017: sourcing /Users/andrew/.local/share/nvim/rplugin.vim
216.802  000.259  000.242: sourcing /usr/local/Cellar/neovim/0.8.3/share/nvim/runtime/plugin/rplugin.vim
216.982  000.097  000.097: sourcing /usr/local/Cellar/neovim/0.8.3/share/nvim/runtime/plugin/shada.vim
217.112  000.033  000.033: sourcing /usr/local/Cellar/neovim/0.8.3/share/nvim/runtime/plugin/spellfile.vim
217.348  000.142  000.142: sourcing /usr/local/Cellar/neovim/0.8.3/share/nvim/runtime/plugin/tarPlugin.vim
217.554  000.109  000.109: sourcing /usr/local/Cellar/neovim/0.8.3/share/nvim/runtime/plugin/tohtml.vim
217.670  000.029  000.029: sourcing /usr/local/Cellar/neovim/0.8.3/share/nvim/runtime/plugin/tutor.vim
217.947  000.182  000.182: sourcing /usr/local/Cellar/neovim/0.8.3/share/nvim/runtime/plugin/zipPlugin.vim
224.096  000.282  000.282: require('nui.object')
225.837  000.346  000.346: require('nui.utils')
225.847  000.591  000.246: require('nui.text')
225.861  000.853  000.262: require('nui.line')
226.058  001.588  000.735: require('nui.popup.border')
226.280  000.218  000.218: require('nui.utils.buf_storage')
226.674  000.391  000.391: require('nui.utils.autocmd')
226.946  000.269  000.269: require('nui.utils.keymap')
227.239  000.291  000.291: require('nui.layout.utils')
227.254  003.154  000.397: require('nui.popup')
227.876  000.269  000.269: require('nui.split.utils')
227.916  000.660  000.392: require('nui.split')
228.209  000.290  000.290: require('nui.layout.float')
228.521  000.309  000.309: require('nui.layout.split')
228.535  005.227  000.531: require('nui.layout')
229.004  000.332  000.332: require('nui.input')
229.040  000.503  000.171: require('chatgpt.input')
229.512  000.155  000.155: require('chatgpt.config')
229.704  000.189  000.189: require('chatgpt.utils')
229.874  000.168  000.168: require('chatgpt.spinner')
